image_id,question,question_id,cleaned_question,image_exists,formatted_image_id,answers,tokens,neutral_question,neutral_tokens
458752,What is this photo taken looking through?,458752000,what is this photo taken looking through,True,COCO_train2014_000000458752.jpg,"net, net, net, netting, net, net, mesh, net, net, net","['what', 'is', 'this', 'photo', 'taken', 'looking', 'through']",what is this photo taken looking through,"['what', 'is', 'this', 'photo', 'taken', 'looking', 'through']"
458752,What position is this man playing?,458752001,what position is this man playing,True,COCO_train2014_000000458752.jpg,"pitcher, catcher, pitcher, pitcher, pitcher, pitcher, pitcher, pitcher, pitcher, pitcher","['what', 'position', 'is', 'this', 'man', 'playing']",what position is this person playing,"['what', 'position', 'is', 'this', 'person', 'playing']"
458752,What color is the players shirt?,458752002,what color is the players shirt,True,COCO_train2014_000000458752.jpg,"orange, orange, orange, orange, orange, orange, orange, orange, orange, orange","['what', 'color', 'is', 'the', 'players', 'shirt']",what color is the players shirt,"['what', 'color', 'is', 'the', 'players', 'shirt']"
458752,Is this man a professional baseball player?,458752003,is this man a professional baseball player,True,COCO_train2014_000000458752.jpg,"yes, yes, yes, yes, yes, no, yes, yes, yes, yes","['is', 'this', 'man', 'a', 'professional', 'baseball', 'player']",is this person a professional baseball player,"['is', 'this', 'person', 'a', 'professional', 'baseball', 'player']"
262146,What color is the snow?,262146000,what color is the snow,True,COCO_train2014_000000262146.jpg,"white, white, white, white, white, white, white, white, white, white","['what', 'color', 'is', 'the', 'snow']",what color is the snow,"['what', 'color', 'is', 'the', 'snow']"
262146,What is the person doing?,262146001,what is the person doing,True,COCO_train2014_000000262146.jpg,"skiing, skiing, skiing, skiing, skiing, skiing, skiing, skiing, skiing, skiing","['what', 'is', 'the', 'person', 'doing']",what is the person doing,"['what', 'is', 'the', 'person', 'doing']"
262146,What color is the persons headwear?,262146002,what color is the persons headwear,True,COCO_train2014_000000262146.jpg,"red, red, red & white, black, red, red, red, red, red, red and white","['what', 'color', 'is', 'the', 'persons', 'headwear']",what color is the persons headwear,"['what', 'color', 'is', 'the', 'persons', 'headwear']"
524291,What is in the person's hand?,524291000,what is in the persons hand,True,COCO_train2014_000000524291.jpg,"frisbee, frisbee, white frisbee, frisbie, frisbee, frisbee, frisbee, frisbee, flying disc, frisbee","['what', 'is', 'in', 'the', 'persons', 'hand']",what is in the persons hand,"['what', 'is', 'in', 'the', 'persons', 'hand']"
524291,Is the dog waiting?,524291001,is the dog waiting,True,COCO_train2014_000000524291.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'the', 'dog', 'waiting']",is the dog waiting,"['is', 'the', 'dog', 'waiting']"
524291,Is the dog looking at a tennis ball or frisbee?,524291002,is the dog looking at a tennis ball or frisbee,True,COCO_train2014_000000524291.jpg,"frisbee, frisbee, frisbee, frisbee, frisbee, frisbee, frisbee, frisbee, frisbee, frisbee","['is', 'the', 'dog', 'looking', 'at', 'a', 'tennis', 'ball', 'or', 'frisbee']",is the dog looking at a tennis ball or frisbee,"['is', 'the', 'dog', 'looking', 'at', 'a', 'tennis', 'ball', 'or', 'frisbee']"
393221,Is the sky blue?,393221000,is the sky blue,True,COCO_train2014_000000393221.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'the', 'sky', 'blue']",is the sky blue,"['is', 'the', 'sky', 'blue']"
393221,Is there snow on the mountains?,393221001,is there snow on the mountains,True,COCO_train2014_000000393221.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'there', 'snow', 'on', 'the', 'mountains']",is there snow on the mountains,"['is', 'there', 'snow', 'on', 'the', 'mountains']"
393221,What is the white streak?,393221002,what is the white streak,True,COCO_train2014_000000393221.jpg,"airplane, plane trail, contrail, jet trail, snow, contrails, jet stream, air trail, jet stream, contrail","['what', 'is', 'the', 'white', 'streak']",what is the white streak,"['what', 'is', 'the', 'white', 'streak']"
393223,Is the window open?,393223000,is the window open,True,COCO_train2014_000000393223.jpg,"yes, no, yes, no, yes, yes, yes, yes, yes, yes","['is', 'the', 'window', 'open']",is the window open,"['is', 'the', 'window', 'open']"
393223,What color is the toothbrush?,393223001,what color is the toothbrush,True,COCO_train2014_000000393223.jpg,"white and purple, white, white and purple, white and purple, purple and white, white, white, white & lavender, white and purple, lavender and white","['what', 'color', 'is', 'the', 'toothbrush']",what color is the toothbrush,"['what', 'color', 'is', 'the', 'toothbrush']"
393223,What is the child doing?,393223002,what is the child doing,True,COCO_train2014_000000393223.jpg,"brushing teeth, brushing, brushing their teeth, brushing teeth, brushing teeth, brushing teeth, brushing teeth, brushing teeth, brushing teeth, toothbrush","['what', 'is', 'the', 'child', 'doing']",what is the child doing,"['what', 'is', 'the', 'child', 'doing']"
393223,Is she brushing?,393223003,is she brushing,True,COCO_train2014_000000393223.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'she', 'brushing']",is person brushing,"['is', 'person', 'brushing']"
393224,Is the man smiling?,393224000,is the man smiling,True,COCO_train2014_000000393224.jpg,"no, no, no, no, no, no, no, no, no, no","['is', 'the', 'man', 'smiling']",is the person smiling,"['is', 'the', 'person', 'smiling']"
393224,What is the business man doing in the picture?,393224001,what is the business man doing in the picture,True,COCO_train2014_000000393224.jpg,"waiting, standing, walking, unknown, frowning, pouting, walking, frowning, frowning, frowning","['what', 'is', 'the', 'business', 'man', 'doing', 'in', 'the', 'picture']",what is the business person doing in the picture,"['what', 'is', 'the', 'business', 'person', 'doing', 'in', 'the', 'picture']"
393224,Does his tie pair well with his suit?,393224002,does his tie pair well with his suit,True,COCO_train2014_000000393224.jpg,"yes, no, no, no, poorly, yes, yes, no, no, no","['does', 'his', 'tie', 'pair', 'well', 'with', 'his', 'suit']",does person tie pair well with person suit,"['does', 'person', 'tie', 'pair', 'well', 'with', 'person', 'suit']"
393224,Does the man look happy?,393224003,does the man look happy,True,COCO_train2014_000000393224.jpg,"no, no, no, no, no, no, no, no, yes, no","['does', 'the', 'man', 'look', 'happy']",does the person look happy,"['does', 'the', 'person', 'look', 'happy']"
393224,Is this photo in color?,393224004,is this photo in color,True,COCO_train2014_000000393224.jpg,"no, no, no, no, no, no, no, no, no, no","['is', 'this', 'photo', 'in', 'color']",is this photo in color,"['is', 'this', 'photo', 'in', 'color']"
393224,Is the man wearing a plain tie?,393224005,is the man wearing a plain tie,True,COCO_train2014_000000393224.jpg,"no, no, no, no, no, no, no, yes, no, no","['is', 'the', 'man', 'wearing', 'a', 'plain', 'tie']",is the person wearing a plain tie,"['is', 'the', 'person', 'wearing', 'a', 'plain', 'tie']"
524297,"Judging from the dress, was this taken in a Latin American country?",524297000,judging from the dress was this taken in a latin american country,True,COCO_train2014_000000524297.jpg,"yes, yes, no, yes, yes, yes, no, yes, no, yes","['judging', 'from', 'the', 'dress', 'was', 'this', 'taken', 'in', 'a', 'latin', 'american', 'country']",judging from the dress was this taken in a latin american country,"['judging', 'from', 'the', 'dress', 'was', 'this', 'taken', 'in', 'a', 'latin', 'american', 'country']"
524297,What colors are shown in this picture?,524297001,what colors are shown in this picture,True,COCO_train2014_000000524297.jpg,"black, white, black and white, black and white, black and white, white and gray, black white, black and white, black, white, gray, black and white, black and white","['what', 'colors', 'are', 'shown', 'in', 'this', 'picture']",what colors are shown in this picture,"['what', 'colors', 'are', 'shown', 'in', 'this', 'picture']"
524297,Are the men on the sidewalk?,524297002,are the men on the sidewalk,True,COCO_train2014_000000524297.jpg,"no, no, no, no, no, no, no, yes, no, no","['are', 'the', 'men', 'on', 'the', 'sidewalk']",are the men on the sidewalk,"['are', 'the', 'men', 'on', 'the', 'sidewalk']"
524297,Was this photo taken recently?,524297003,was this photo taken recently,True,COCO_train2014_000000524297.jpg,"no, no, no, no, no, no, no, no, no, no","['was', 'this', 'photo', 'taken', 'recently']",was this photo taken recently,"['was', 'this', 'photo', 'taken', 'recently']"
393227,Does the guy have a tattoo?,393227000,does the guy have a tattoo,True,COCO_train2014_000000393227.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['does', 'the', 'guy', 'have', 'a', 'tattoo']",does the guy have a tattoo,"['does', 'the', 'guy', 'have', 'a', 'tattoo']"
393227,What is this man riding on?,393227001,what is this man riding on,True,COCO_train2014_000000393227.jpg,"skateboard, skateboard, skateboard, skateboard, skateboard, skateboard, skateboard, skateboard, skateboard, skateboard","['what', 'is', 'this', 'man', 'riding', 'on']",what is this person riding on,"['what', 'is', 'this', 'person', 'riding', 'on']"
393227,How many tattoos can be seen on this man's body?,393227002,how many tattoos can be seen on this mans body,True,COCO_train2014_000000393227.jpg,"1, 1, 1, 1, 3, 2, 1, 1, 1, 1","['how', 'many', 'tattoos', 'can', 'be', 'seen', 'on', 'this', 'mans', 'body']",how many tattoos can be seen on this mans body,"['how', 'many', 'tattoos', 'can', 'be', 'seen', 'on', 'this', 'mans', 'body']"
393227,What color is his hat?,393227003,what color is his hat,True,COCO_train2014_000000393227.jpg,"backwards, blue, blue, blue, blue, blue, blue, blue, blue, blue","['what', 'color', 'is', 'his', 'hat']",what color is person hat,"['what', 'color', 'is', 'person', 'hat']"
